id,text,label
62,به هر صورت همانطور که گفتیم،  ZS6 دوربین نسبتا ارزان قیمت خیلی خوبیست که امکانات خوب را در برابر قیمت مناسب ارائه می کند.,1
63,همان‌طور که گفتیم،  به جز سه تفاوتی که در لنز،  عدم عکاسی در فرمت خام RAW و عدم تجهیز به GPS که بین F660 و F770 وجود دارد،  و همچنین مقداری اختلاف جزئی در طراحی بدنه و وزن دوربین،  این دو کاملا شبیه به یکدیگر می‌باشند.,0
64,بنابراین بسیاری از نظراتی که درباره‌ی F770 داده بودیم در مورد این یکی هم صادق است.,0
65,همانند F770،  این دوربین هم طراحی بسیار شکیل و زیبایی دارد که هم از نظر زیبایی شناختی و هم ارگونومی از مدل‌های پیشین بهتر است.,1
66,در قسمت سمت راست آن دستگیره‌ی نصفه و نیمه ای ساخته شده که باعث می‌شود در دست گرفتن دوربین خیلی فراتر از حد انتظار آسان شود.,1
67,بدنه از ماده ای لاستیک اندود شده ساخته شده که در هنگام لمس احساس خیلی خوبی را منتقل می‌کند.,1
68,به خصوص اینکه باعث می‌شود که احتمال لیز خوردن دوربین در دست کمتر گردد و اثری از لکه و اثر انگشت هم بر روی آن باقی نماند.,1
69,به دلیل لنز کوچک‌تری که F660 نسبت به لنز F770 به آن مجهز است،  قطر بدنه‌ی آن نیز کمتر از برادر خود می‌باشد.,0
70,در ضمن به دلیل عدم تجهیز به GPS؛ آن برآمدگی قسمت بالای دوربین دیگر دیده نمی‌شود.,0
71,طراحی قسمت لبه‌ی بالایی و چینش دکمه‌ها هم کمی نسبت به F770 تفاوت دارد.,0
72,چینش دکمه‌ها و کنترل‌های دوربین واقعا عالیست.,1
73,وقتی دوربین را با یک دست نگه داشته‌اید،  انگشت شست دست راست شما به راحتی می‌تواند به بیشتر کنترل‌های مهم دسترسی پیدا کند.,1
74,پیچ تنظیم شوتینگ مودها هم مثل مدل‌های پیشین رو به عقب ساخته شده ولی طراحی آن خیلی تمیز تر می‌باشد و احساس نمی‌کنیم که گویی آن قسمت از دوربین بر اثر گرما ذوب شده باشد.,1
75,F660 از بیشتر دوربین‌های کامپکت point to shoot بزرگ‌تر می‌باشد.,0
76,ولی این بزرگ‌تر بودن باعث نشده که در دست گیری آن سخت شود.,1
77,ابعاد دقیقا آن نیز 104 x 59 x 33 میلی متر است که تا حدودی از F770 هم باریک‌تر و هم کوچک‌تر می‌باشد.,0
78,مودهای عکاسی که از طریق پیچ تنظیم می‌توانند انتخاب شوند واقعا متنوع هستند.,1
79,همانند مدل‌های پیشین،  F660 نیز دوربینی است که می‌تواند علاوه بر عکاسان مبتدی یا کسانی که فقط با فشردن دکمه‌ی شاتر قصد عکاسی دارند،  مورد استفاده‌ی عکاسان حرفه ای هم قرار گیرد.,0
80,"به خصوص اینکه مجهز به مودهای عکاسی حرفه ای تر P,A,S,M هم می‌باشد.",1
81,ولی برخلاف F770 نمی‌توان در فرمت حرفه ای تر و خام RAW با آن عکاسی کرد.,-1
82,بدین ترتیب با این دوربین فقط می‌توانید در فرمت JPEG عکاسی نمایید.,0
83,مود EXR این دوربین درست مانند مود عکاسی intelligent Auto و Smart Auto بر روی دوربین‌های دیگر عمل می‌کند.,0
84,با گذاشتن دوربین بر روی این مود،  کافیست که برای گرفتن عکس آن را به سوی سوژه نشانه بروید و دکمه‌ی شاتر را بفشارید تا دوربین خود نوع صحنه،  شرایط نوری و دیگر موارد را بسنجد و تنظیمات را بر روی بهترین حالت قرار دهد تا با کیفیت‌ترین عکس بدست آید.,1
85,مود Adv (Advanced) قابلیت‌های خیلی خوبی مثل اینکه چند عکس در کنار هم برای عکاسی پانوراما تهیه کنید را به شما می‌دهد.,1
86,این دوربین توانایی ضبط ویدیویی 1080p Full HD را نیز دارد.,1
87,این فیلم برداری می‌تواند با سرعت 30 فریم انجام شود و امکان استفاده از زوم کامل اپتیکال و ضبط صدای استریو نیز با آن وجود دارد.,0
88,به نظر می‌رسد که F660 واقعا فیلم بردار خوبی باشد.,1
89,بعلاوه اینکه این دوربین توانایی ضبط ویدیویی با سرعت خیلی زیاد بعلاوه اینکه این دوربین توانایی ضبط ویدیویی با سرعت خیلی زیاد 320 فریم بر ثانیه را نیز دارد تا بعدا وقتی آن را با سرعت 30 فریم بر ثانیه مشاهده می‌کنید یک فیلم اسلوموشن را شاهد باشید.,1
90,همچنین این دوربین توانایی عکاسی پیاپی با سرعت 8 فریم بر ثانیه در رزولوشن کامل را نیز دارد.,1
91,عکاسی پیاپی با سرعت 11 فریم بر ثانیه هم می‌تواند انجام گیرد ولی رزولوشن به 8 مگاپیکسل کاهش می‌یابد.,-1
92,همان‌طور که گفتیم،  این دوربین مجهز به لنز فوجینون 24-360 میلی متر با توانایی زوم 15 برابر است که تا کنون برای یک دوربین کامپکت در این ابعاد کوچک بی سابقه بوده است.,1
93,این لنز در حالت واید 24 میلی متر به راحتی می‌تواند میدان دیدی کاملا گسترده را پوشش دهد تا در یک عکس بتوانید تصویر یک چشم انداز طبیعی پهناور را ثبت کنید.,1
94,همچنین برای عکاسی از محیط‌های داخلی و یا جمع بزرگ دوستان هم مناسب است.,1
95,هرچند که این دوربین از داشتن لنز با توانایی زوم 20 برابر F770 محروم است،  اما توانایی زوم 15 برابر آن نیز باعث می‌شود تا بتوانید سوژه‌هایی کاملا دوردست را هم با کیفیتی کاملا بالا ثبت کنید.,1
96,بعلاوه‌ی اینکه چنین لنزی بر روی این دوربین کامپکت واقعا کم نظیر است.,1
97,به دلیل توانایی تولید چنین بزرگنمایی زیادی،  لرزش دست می‌تواند در عکس گرفته شده تاثیر زیادی داشته باشد و به راحتی مقدار کمی از آن باعث به طور کلی تار شدگی عکس شود.,-1
98,به همین دلیل نیز F660 از لرزش گیر ترکیبی تصویر مکانیکی پیشرفته و الکترونیکی بهره می‌برد تا بتوانید با خیال آسوده و حتی در سرعت‌های شاتر پایین و بزرگنمایی های بالا نیز عکس‌های خیلی شارپ و با کیفیتی تولید کنید.,1
99,اما کمینه‌ی نسبت کانونی آن در حالت واید و زوم،  f/3.5-5.6 می‌باشد که عالی نیست ولی خوب است تا در عکاسی شرایط نوری ضعیف هم مشکل زیادی نداشته باشید.,1
100,طبق ادعای فوجی فیلم این دوربین می‌تواند در مدت زمان 0.16 ثانیه بر روی سوژه فوکوس کند تا یکی از سریع‌ترین مکانیسم‌های فوکوس خودکار را هم به خود اختصاص داده باشد.,1
101,سنسور تصویر 16 مگاپیکسلی CMOS این دوربین دقیقا همانی است که بر روی دوربین F600 سال گذشته و دوربین همزمان معرفی شده‌ی F770 هم وجود دارد و از این لحاظ هیچ تغییری بین این سه به چشم نمی‌خورد.,0
102,"نمایشگر 3 اینچی هم رزولوشن 460,000 پیکسل را ارایه می‌دهد که رزولوشن بسیار بالا و خوبیست.",1
103,این دوربین مجهز به یک فلاش Pgr-up قدرتمند با برد موثر 3.7 متر نیز هست.,1
104,در قسمت لبه‌ی سمت راست دوربین کاوری لاستیکی دیده می‌شوند که پورت‌های این دوربین زیر آن قرار گرفته‌اند.,0
105,در زیر آن می‌توانیم شاهد یک پورت استاندارد HDMI و یک پورت AV/USB هم دیده می‌شود.,0
106,F660 مجهز به باتری لیتیوم-یونی قابل شارژ NP-50A می‌باشد که در هر بار شارژ کامل توانایی شارژ دهی به اندازه‌ی گرفتن 300 عکس را دارد.,1
107,عکس‌های گرفته شده نیز بر روی کارت حافظه‌ی SD/SDHC/SDXC ذخیره می‌شوند.,0
108,به هر صورت همان‌طور که گفتیم،  F660 دوربین کامپکت سوپر زوم بسیار خوبیست که از ویژگی‌ها و فن آوری های خیلی پیشرفته و خوبی بهره می‌برد.,1
109,از این جمله می‌توان به طراحی و ساخت بسیار با کیفیت و ارگونومیک،  مودهای عکاسی حرفه ای،  توانایی ضبط ویدیویی 1080p Full HD،  سنسور بسیار پیشرفته و با کیفیت،  نمایشگر خیلی خوب و از همه بهتر لنز با توانایی زوم 15 برابر اشاره کرد.,1
110,در آینده و با ورود این محصول به بازار سعی می‌کنیم اطلاعات بیشتری را از آن ارایه کنیم.,0
111,به روز رسانی: از نظر مقدار نویز،  در حساسیت‌های پایین عکس‌های این دوربین وضعیت خیلی خوبی دارند.,1
112,در ایزو 100 نویزی مشاهده نمی‌شود ولی در ایزو 200 در هنگامی که بزرگنمایی را 100 درصد می‌کنید مقداری نویز مشاهده می‌گردد.,0
113,این وضعیت تا ایزو 800 به مراتب بدتر می‌گردد.,-1
114,پس از آن گویی سیستم کاهش نویز درونی دوربین به یکباره به کار می‌افتد که البته مقداری افراط می‌کند و در حساسیت 1600 شاهد کاسته شدن از غلظت رنگ‌ها و مقدار جزئیات هستیم.,-1
115,در حساسیت‌های 6400 و 12800 نیز برای اینکه نویز نمود کمتری داشته باشد از رزولوشن عکس کاسته می‌شود.,0
116,با این حال در کل عکس‌ها از نظر نور دهی و رنگ‌ها خیلی خوب هستند.,1
117,دوربين خوبيه عکس هاي که باهاش گرفتم خيلي خوبه اما در فيلم برداري سوژه رو چند لحظه گم مي کنه و بعد از چند ثانيه فوکس مي کنه اما در عکس گرفتن مي تونم بگم بي نظيره.,1
118,هم عکسش عاليه هم فيلم ,1
119,سلام  سه چهار روزي ميشه که اين به اصطلاح دوربينو گرفتم اصلا  از کيفيت عکساش راضي نيستم در حد 5 يا 6 مگا پيکسله  فيلمي هم که باهاش ميگيري هي گير ميکنه صداشم قطع و وصل ميشه,-1
120,با سلام خدمت دوستان بعد از شش ماه تحقيق راجع به دوربين به طور ناخواسته اينو خريدم و امروز به دستم رسيد.,0
121,بعد از آشنا شدن با تنظيمات دوربين و عکسهايي که گرفتم ميتونم بگم با کمي دقت و يادگيري فنون عکاسي ميشه عکسهاي فوق العاده اي انداخت کيفيت فيلمش هم عالي بود برخلاف انتظار باطريش هم خوب بود دو ساعت باهاش کار کردم ولي باطريش هنوز تموم نشده دوربين جمع و جوريه و هيچ ايرادي نداره و پيشنهاد ميکنم در خريدش شک نکنيد.,1
122,قبل از خريد فنون عکاسي رو ياد بگيريد.,0
123,تنها عيبش به نظر من اين بود که باطريش دير شارژ شد.,-1
124,سلام خدمت همه علاقمندان به عکاسي خوب من مدل f500 اين دوربين رو داشتم که بعد از کلي تحقيق با توجه به قيمت مناسبش خريداري کردم البته اين مدل با مدل قبلي هيچ تفاوتي نداره کيفت عکسهاي تو نور روز تا حدي مي تونه راضي کننده باشه کيفيت فيلم برداريش اصلا خوب نيست صداي زوم لنز خيلي آزار دهنده هست کيفيت بدنه هم اصلا جالب نيست ولي خوب براي ثبت لحظه هاي آماتوري تو نور روز ميشه گفت خوبه تو اين رنج قيمت,1
125,دوربين بسيار قوي با حسگر فوق العاده.,1
126,به جرات ميگم با سوني قابل مقايسه نيست!,0
127,رنگ هاي زنده.,1
128,براي کاهش نويز هم ميشه سرعت شاتر رو با زاويه نور تنظيم کرد.,1
129,فيلم برداري 320 فريم بر ثانيه اش فوق العادس!,1
130,من نميدونم فوجي فيلم چي رو داره تغيير ميده.,0
131,همشون شبيه f500 هستن.,0
132,شايد فوق فوقش تغييرات خيلي جزئي تو مدلهاي جديد بدن.,0
133,وگرنه اگه f550 رو بگيرين و مدلهاي ديگش مقايسه کنين،  به تغييرات خيلي زيادي نميرسين.,-1
134,به نظرم از همشون بهتر همون f550 هستش.,0
135,تازه اينم که GPS نداره.,-1
136,بسیار خوب،  ST68 کمی گران قیمت تر است که به دلیل سنسور تصویر با رزولوشن دو مگاپیکسل بیشتر آن می باشد.,0
137,به هر صورت هر دو رزولوشن کاملا بالا هستند تا به خوبی جوابگوی نیازهای عکاسی روزانه باشند.,1
138,با توجه به لنز واید 25 میلی متری که بر روی این دوربین ها قرار گرفته،  می توانید مطمئن باشید که در هر کادر می توان میدان دید گسترده ای را ثبت کرد تا بنابراین این دوربین کاملا مناسب عکاسی از منظره هم باشد.,1
139,همچنین توانایی زوم 5 برابر هم برای انجام عکاسی های روزانه مناسب است.,1
140,این دو دوربین از نوع نشانه و عکس یا Point to Shoot می باشند.,0
141,بدین ترتیب که برای عکاسی با آن ها کافیست که دوربین را به سوی سوژه نشانه بروید و دکمه ی شاتر را بفشارید تا مناسب ترین و با کیفیت ترین عکس گرفته شود.,1
142,این امکان باعث می شود که این دوربین ها کاملا مناسب کاربران مبتدی قرار گیرند.,1
143,این دوربین ها مجهز به نمایشگر 2.7 اینچی 230000 پیکسلی می باشند که برای دوربین هایی در این سطح کاربری و قیمت کاملا مناسب هستند.,1
144,همچنین عکس ها نیز بر روی کارت های حافظه ی MicroSD ذخیره می شوند.,0
145,یعنی از همان کارت های حافظه ی خیلی کوچکی که معمولا در دوربین های دیجیتال مورد استفاده قرار می گیرد.,0
146,این در حالیست که بیشتر دوربین های موجود در بازار از کارت های حافظه ی بزرگتر SD بهره می برند.,0
147,این دو دوربین توانایی فیلم برداری با رزولوشن HD را نیز دارند که عالیست.,1
148,بنابراین شما با پرداخت مبلغ خیلی کمی می توانید یک دوربین عکاسی و یک دوربین فیلم برداری را به صورت توامان داشته باشید.,1
149,در کل همانطور که گفتیم،  دوربین های سامسونگ ST64 و ST68 دوربین هایی ارزان قیمت و مناسب استفاده های معمولی هستند.,1
150,دوربين خوبيه.,1
151,"همه جا ميتوني ازش استفاده کني مخصوصا اگه جاهاي تفريحي يا توي مراسمي کسي بخواد 
عکس يا فيلم يادگاري داشته باشه واقعا اين دوربين يه پيشنهاد عالي هست چون با توجه به اندازه کوچيکش واقعا کيفيتش عاليه .",1
152,"من که خريدم ازش راضي ام
",1
153,دوربين واقعا عالي اي هست.,1
154,"فقط در قسمت عکاسي پاناروما زنده کيفيت خيلي پاييني داره
ولي در کل من از عکاسي باهاش مخصوصا در شب لذت ميبرم
",1
155,"به نظر من که واقعا عاليست هم کيفيت عکس و هم فيلمبرداري
مطمئن باشيد که از خريدش پشيمان نميشويد",1
156,عکاسي در شب اين دوربين بسيار عالي هست.,1
157,اگر در قسمت دريچه ي ديافراگم مدت رو روي 8 ثانيه بزاريد و مخصوصا وقتي که روي سه پايه نصب باشه با کيفيت بسيار عالي ميتونيد جزيياتو ببينيد.,1
158,در حالت پاناروما عيب اين دوربين مشخص ميشه و دليلش هم زنده بودن اين خاصيته که باعث کم شدن کيفيت عکس ميشه.,-1
159,البته در نوع خودش اين هم خلاقيتيه و کارو براي افرادي که پاناروما عکاسي ميکنن بسيار راحت کرده.,1
160,بدنه ي اين دوربين بسيار کوچک و زيباست که همين باعث شده دوربين فشرده با کارايي بالا داشته باشيم.,1
161,زوم 5 برابر اپتيکال هم داره که حتي ميتونيم در هنگاه فيلم برداري ازش استفاده کنيم.,0
162,البته در توضيحات فني و مشخصات ذکر شده بود که صداي زوم کردن در هنگام فيلم برداري ضبط ميشه ولي من صداي زيادي نشنيدم.,0
163,خيلي خفيفه.,1
164,اونم ميشه از توي تنظيماتش در حالت نويزگير صداي زوم قرار بديم و کيفيت صداي بهتري داشته باشيم.,1
165,عکساش اندازه ي بزرگي دارن و حتي ميشه روي صفحه ي ديتا شو هم با کيفيت عالي روشون زوم کرد.,1
166,همانطور که می دانید،  کمپانی Sony Ericsson در نهم ژانویه سال جاری میلادی،  بطور رسمی نام Ericsson را حذف کرد.,0
167,"کمپانی سوئدی اریکسون بیش از یک دهه با کمپانی سونی همکاری کرده بود ولی اریکسون یک مانع بر سر راه سونی برای اجرای برنامه ""4 صفحه"" یا Four-Screen شده بود که بر اساس آن،  سونی می خواست یک هماهنگی کلی بین چهار رسته گوشی،  تبلت،  تلویزیون و کامپیوتر خود،  برای افزایش سهم بازار و غلبه بر رغبا،  ایجاد کند.",0
168,به همین دلیل سونی در نهایت تصمیم به خرید سهام اریکسون گرفت و با هزینه ای بالغ بر 1.47 میلیارد دلار،  برند اریکسون را که بیش از یک دهه یدک می کشید حذف کرد و نام بخش مربوط به موبایل خود را از Sony Ericcson به Sony و بطور کاملتر به Sony Mobile Communications تغییر دارد.,0
169,Sony امیدوار است با این کار،  شکوه و عظمت خود را در بازار گوشی های تلفن همراه که طی سال های اخیر با روی کار آمدن رقبای سرسخت،  کمرنگ شده بود را با تولید نسل جدیدی از گوشی های تلفن همراه باریک ، سبک ، زیبا و قدرتمنده،  دوباره بازیابد.,0
170,مدت زمان نسبتا زیادی از زمانی که کمپانی Sony (یا همان Sony Ericsson قدیم) گوشی هوشمند تلفن همراهی وارد بازار کرده است،  میگذرد و در این میان سایر رقبا،  انواع و اقسام گوشی های دو هسته ای با سخت افزار گوناگون را وارد بازار کرده اند.,0
171,ولی بالاخره سونی این طلسم را با یک گوشی فوق العاده شکست بطوریکه مطمئنا تمام رقبای خود را شگفت زده کرده است.,1
172,Sony Xperia Ion اولین محصول کمپانی سونی بعد از جدایی آن از اریکسون است.,0
173,این گوشی،  دارای گواهی PlayStation است که مسلما توجه علاقه مندان به بازی ها را به خود جلب خواهد کرد و همچنین سخت افزاری که این گوشی را تغذیه می کند به قدری عالیست که کاربران را متحیر خواهد کرد.,1
174,در نگاه اول شباهت های زیادی بین طراحی این گوشی و سری های قبلی Xperia خواهید یافت.,0
175,بدنه خارجی فلزی آن،  کیفیت ساخت فوق العاده بالای آن را مشخص می کند و حتی با وجود بزرگ بودن گوشی،  به لطف منحنی موجود در پشت آن و وزن مناسب آن،  به راحتی در دست جای میگیرد و حس خوبی را به شما القا می کند.,1
176,و اما جزئیات.,0
177,صفحه نمایش 4.6 اینچی با تکنولوژی های HD Reality و Mobile BRAVIA Engine و رزلوشن 1280x720 که نیاز به هیچگونه تعریفی ندارد!,0
178,این صفحه نمایش تمامی جزئیات را با دقت فوق العاده بالایی نشان می دهد،  رنگ ها بسیار غنی و زنده و روشنایی و زاویه دید این صفحه نمایش بسیار عالی هستند.,1
179,ولی نقاط قوت Xperia Ion به صفحه نمایش آن ختم نمی شود!,0
180,دوربین 12 مگاپیکسلی با فوکوس خودکار و سنسور Exmor R و قابلیت فیلمبرداری Full HD 1080p،  دوربین مکالمه تلفنی و امکانات ارتباطی متنوع که همه اینها توسط پردازنده قدرتمند دو هسته ای Snapdragon با فرکانس 1.5 گیگاهرتز تغذیه می شوند.,1
181,Ion اولین گوشی خانواده Xperia است که از پردازنده دو هسته ای بهره می برد.,0
182,با چنین پردازنده قدرتمندی،  اصلا جای تعجب نبود که تجربه کاری فوق العاده روانی حاصل شود.,1
183,شاید اگر سونی به جای اندروید 2.3،  از اندروید 4 روی این گوشی بطور پیش فرض استفاده کرده بود،  سرعت گوشی حتی بیشتر از این هم بود چون اندروید 4 با پردازنده های چند هسته ای هم خوانی دارد.,0
184,در نهایت Sony Xperia Ion یک غول اندرویدی تمام عیار است که چه در اجرای بازی و چه برای گرفتن عکس و ویدئو،  تمام رقیبان خود به هراس واداشته است.,1
185,"با سلام 
من حدودا دو ماهه که خريدمش و گوشي خيلي خوبيه و دوستي که گفته بودن صداي اهنگش در محيط باز کمه برن هر گوشي ديگه اي رو ميخوان امتحان کنن امکان نداره کيفيت صداش به پاي ايون برسه .",1
186,من خودم اهنگ هاي زيادي روش امتحان کردم ولي اصلا خش و خش نکرد و عالي بود.,1
187,از نظر من خوش دست ترين و کاملترين گوشيه که ديدم ولي با لمس ضعيف دکمه هاي پايينش با دوستان موافقم .,1
188,ولي در کل بهترين گوشيه که ديدم من که ازش راضيم,1
